Name                                                                           Stmts   Miss  Cover
--------------------------------------------------------------------------------------------------
config/__init__.py                                                                 0      0   100%
config/asgi.py                                                                     4      4     0%
config/settings.py                                                                26      0   100%
config/urls.py                                                                     5      0   100%
config/wsgi.py                                                                     4      4     0%
curses/__init__.py                                                                 0      0   100%
curses/admin.py                                                                    1      0   100%
curses/apps.py                                                                     4      0   100%
curses/migrations/0001_initial.py                                                  5      0   100%
curses/migrations/0002_rename_kurs_curs_alter_lesson_image.py                      4      0   100%
curses/migrations/0003_lesson_curs.py                                              5      0   100%
curses/migrations/0004_alter_lesson_curs.py                                        5      0   100%
curses/migrations/0005_alter_lesson_url_video.py                                   4      0   100%
curses/migrations/0006_remove_lesson_curs_curs_lessons.py                          4      0   100%
curses/migrations/0007_curs_owner_lesson_owner.py                                  6      0   100%
curses/migrations/0008_alter_curs_lessons.py                                       4      0   100%
curses/migrations/0009_subscription.py                                             6      0   100%
curses/migrations/0010_remove_curs_lessons_curs_lessons.py                         5      0   100%
curses/migrations/__init__.py                                                      0      0   100%
curses/models.py                                                                  29      2    93%
curses/paginators.py                                                               3      0   100%
curses/permissions.py                                                             10      1    90%
curses/serializers.py                                                             23      1    96%
curses/tests.py                                                                   44      0   100%
curses/urls.py                                                                     8      0   100%
curses/validators.py                                                              10      5    50%
curses/views.py                                                                   47      3    94%
manage.py                                                                         12      2    83%
payments/__init__.py                                                               0      0   100%
payments/admin.py                                                                  1      0   100%
payments/apps.py                                                                   4      0   100%
payments/management/__init__.py                                                    0      0   100%
payments/management/commands/__init__.py                                           0      0   100%
payments/management/commands/load_data_to_database.py                             22     22     0%
payments/migrations/0001_initial.py                                                8      0   100%
payments/migrations/__init__.py                                                    0      0   100%
payments/models.py                                                                19      1    95%
payments/seriallizers.py                                                           6      0   100%
payments/tests.py                                                                  1      0   100%
payments/urls.py                                                                   6      0   100%
payments/views.py                                                                 14      0   100%
static/__init__.py                                                                 0      0   100%
static/curses/__init__.py                                                          0      0   100%
users/__init__.py                                                                  0      0   100%
users/admin.py                                                                     3      0   100%
users/apps.py                                                                      4      0   100%
users/management/__init__.py                                                       0      0   100%
users/management/commands/__init__.py                                              0      0   100%
users/management/commands/csu.py                                                   7      7     0%
users/migrations/0001_initial.py                                                   8      0   100%
users/migrations/0002_remove_user_username_user_avatar_user_city_and_more.py       4      0   100%
users/migrations/0003_alter_user_email.py                                          4      0   100%
users/migrations/0004_alter_user_options.py                                        4      0   100%
users/migrations/0005_user_role.py                                                 4      0   100%
users/migrations/__init__.py                                                       0      0   100%
users/models.py                                                                   21      1    95%
users/serializers.py                                                               9      1    89%
users/tests.py                                                                     1      0   100%
users/urls.py                                                                      7      0   100%
users/views.py                                                                    17      0   100%
--------------------------------------------------------------------------------------------------
TOTAL                                                                            452     54    88%
